# Language,English,German,French,Spanish,Turkish,Russian,Polish,Danish,Dutch,Japanese,Italian,Czech
:key,en_GB,de_DE,fr_FR,es_ES,tr_TR,ru_RU,pl_PL,da_DK,nl_NL,ja_JP,it_IT,cs_CZ
:voice,Daniel,Markus,Thomas,Monica,Yelda,Milena,Zosia,Sara,Xander,Kyoko,Alice,Zuzana
0000,Zero,Null,Zéro,Cero,Sıfır,Нулю,Zero,Zero,Nul,ゼロ,Zero,Nula
0001,One,Eins,Une,Uno,Bir,Один,Jeden,En,Één,One,Uno,Jeden
0002,Two,Zwei,Deux,Dos,Iki,Два,Dwa,To,Twee,二つ,Due,Dvě
0003,Three,Drei,Trois,Tres,Üç,Три,Trzy,Tre,Drie,3,Tre,Tři
0004,Four,Vier,Quatre,Cuatro,Dört,Четыре,Cztery,Fire,Vier,4,Quattro,Čtyři
0005,Five,Fünf,Cinq,Cinco,Beş,Пять,Pięć,Fem,Vijf,5,Cinque,Pět
0006,Point Zero,Komma null,Point zéro,Punto Cero,Point Zero,Нулевая Точка,Punkt Zero,Punkt Zero,Point Zero,ポイントゼロ,Punto Zero,Point Zero
0007,Point one,Komma eins,Un point,Punto uno,Nokta bir,Пункт первый,Jeden punkt,Punkt ét,Punt één,ポイント1,Punto primo,Point One
0008,Point two,Komma zwei,Le deuxième point,Punto dos,Nokta iki,Второй пункт,Punkt dwóch,Punkt to,Punt twee,ポイント2,Punto due,Point Two
0009,Point three,Komma drei,Troisième point,Punto tres,Nokta üç,Точка три,Punkt trzeci,Punkt tre,Punt drie,ポイント3,Punto tre,Point Three
0010,Point four,Komma vier,Le quatrième point,El punto cuatro,Nokta dört,Четвертый пункт,Punkt cztery,Punkt fire,Punt vier,ポイント4,Punto quattro,Point Čtyři
0011,Point five,Komma fünf,Virgule cinq,El punto cinco,Nokta beş,Точка пять,Punkt pięć,Punkt fem,Punt vijf,ポイント5,Punto cinque,Point Five
0012,Point six,Komma sechs,Virgule six,Punto de seis,Nokta altı,Точка шесть,Punkt sześć,Punkt seks,Punt zes,ポイント6,Punto sei,Bod šest
0013,Point seven,Komma sieben,Point de sept,Punto de siete,Nokta yedi,Точка семь,Punkt siedem,Punkt syv,Point zeven,ポイント7,Punto sette,Point Seven
0014,Point eight,Komma acht,Point de huit,Punto de ocho,Nokta sekiz,Точка восемь,Punkt osiem,Punkt otte,Point acht,点8,Punto otto,Point Osm
0015,Point nine,Komma neun,Virgule neuf,Punto de nueve,Nokta dokuz,Точка девять,Punkt dziewięć,Punkt ni,Punt negen,ポイント9,Punto nove,Point Devět
0021,Warning,Warnung,Avertissement,Advertencia,Uyarı,Предупреждение,Ostrzeżenie,Advarsel,Waarschuwing,警告,Avvertimento,Výstraha
0022,Error,Fehler,Erreur,Error,Hata,Ошибка,Błąd,Fejl,Fout,エラー,Errore,Chyba
0023,Alert,Alarm,Alerte,Alerta,Uyanık,Тревога,Czujny,Alert,Alarm,アラート,Allarme,Bdělý
0024,Feet,Fuß,Pieds,Pies,Ayaklar,Ноги,Stopy,Feet,Voeten,フィート,Piedi,Feet
0025,Foot,Fuß,Pied,Pie,Ayak,Фут,Stopa,Foot,Voet,フット,Piede,Noha
0026,Minus ,Minus,Moins,Menos,Eksi,Минус,Minus,Minus,Minus,マイナス,Meno,Bez
0027,,,,,,,,,,,,
0028,Welcome. Have a nice flight!,Willkommen. Viel Spaß beim Fliegen und denke dran: Arbeitsschutz geht uns alle an!,Bienvenue. Avoir un bon vol!,Bienvenido. Tener un buen vuelo!,Hoşgeldiniz. Güzel bir uçuş var!,Добро пожаловать. имеют приятный полет!,Witamy. Miłego lotu!,Velkommen. Hav en dejlig flyvning!,Welkom. Heb een aardige vlucht!,ようこそ。素敵な飛行を持っています！,Benvenuto. Avere un bel volo!,Vítej. Přejeme Vám příjemný let!
0029,Limit,Limit,Limite,Límite,Limit,Предел,Limit,Grænse,Limiet,リミット,Limite,Limit
0030,RPM,Umdrehungen pro Minute,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM
0031,Flight Battery Low,Flugbatterie leer,Vol de batterie faible,Vuelo de batería baja,Uçuş Pil Düşük,Полет Низкий заряд батареи,Lot Battery Low,Flight Battery Low,Flight Battery Low,フライトバッテリー·ロウ,Volo Batteria scarica,Flight Battery Low
0032,Radio Voltage,Senderspannung,Radio Voltage,Radio Voltaje,Radyo Gerilim,Радио Напряжение,Radio napięcia,Radio Spænding,Radio Voltage,ラジオ電圧,Radio Voltaggio,Radio Napětí
0033,Current,Strom,Courant,Corriente,Şimdiki,Ток,Prąd,Nuværende,Stroom,現在,Corrente,Proud
0034,Altitudet,Höhe,Altitudet,Altitudet,Altitudet,Altitudet,Altitudet,Altitudet,Altitudet,Altitudet,Altitudet,Altitudet
0035,Point,Punkt,Point,Punto,Nokta,Точка,Punkt,Punkt,Punt,ポイント,Punto,Bod
0036,Volts,Volt,Volts,Voltios,Volt,Вольт,V,Volt,Volt,ボルト,Volt,Voltů
0037,Volt,Volt,Volt,Voltio,Volt,Вольт,Wolt,Volt,Volt,ボルト,Volt,Volt
0038,Minutes,Minuten,Procès-verbal,Acta,Dakika,Минут,Protokół,Minutter,Notulen,分,Verbale,Zápis
0039,Minute,Minute,Minute,Minuto,Dakika,Минут,Minuta,Minut,Minuut,分,Minuto,Minuta
0040,Pack Voltage,Packspannung,Pack de tension,Paquete de Voltaje,Paketi Gerilim,Пакет Напряжение,Paczka napięcia,Pack Spænding,Pack Voltage,パック電圧,Pacchetto di tensione,Balení Napětí
0041,30 Seconds,30 Sekunden,30 secondes,30 Segundos,30 Saniye,30 секунд,30 Seconds,30 Seconds,30 Seconds,30秒,30 Seconds,30 Seconds
0042,20 Seconds,20 Sekunden,20 secondes,20 segundos,20 Saniye,20 секунд,20 Sekund,20 sekunder,20 Seconden,20秒,20 Secondi,20 Seconds
0043,10 Seconds,10 Sekunden,10 secondes,10 segundos,10 Saniye,10 секунд,10 Sekund,10 Seconds,10 Seconds,10秒,10 secondi,10 Seconds
0044,Percent,Prozent,Pour cent,Por ciento,Yüzde,Процентов,Procent,Procent,Procent,パーセント,Percentuale,Procento
0045,Inactivity Alarm,Inaktivitätsalarm,Inactivité alarme,Inactividad de Alarma,Hareketsizlik Alarmı,Бездействие сигнализации,Alarm nieaktywności,Inaktivitet Alarm,Inactiviteit Alarm,非アクティブ時のアラーム,Inattività allarme,Nečinnost Alarm
0046,Radio Battery Low,Senderbatterie leer,Radio batterie faible,Radio de batería baja,Radyo Battery Low,Радио Низкий заряд батареи,Radio Battery Low,Radio Battery Low,Radio Battery Low,ラジオバッテリー·ロウ,Radio Batteria scarica,Radio Battery Low
